pair_id,status,lat,lon,confidence,clip_score,visual_change_score,pixel_x,pixel_y,z,block_x,block_y,old_image,new_image
0066,new_building,40.2013817,29.13255165,0.3053,0.9943,58.729,429.24,139.36,18,152284,99050,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0066.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0066.png
0067,new_building,40.19898371,29.13242885,0.964,0.9407,50.9405,406.35,212.62,18,152284,99052,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0067.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0067.png
0067,new_building,40.19884169,29.13077849,0.9073,0.9915,67.6818,98.7,247.28,18,152284,99052,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0067.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0067.png
0067,new_building,40.19886243,29.13062909,0.8931,0.9971,66.5649,70.85,242.22,18,152284,99052,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0067.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0067.png
0067,new_building,40.19904849,29.13031538,0.8605,0.9755,63.169,12.37,196.81,18,152284,99052,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0067.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0067.png
0067,new_building,40.19901591,29.13064932,0.8519,0.9872,65.947,74.62,204.76,18,152284,99052,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0067.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0067.png
0067,new_building,40.19905713,29.13044837,0.743,0.9948,65.4188,37.16,194.7,18,152284,99052,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0067.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0067.png
0067,new_building,40.19894515,29.13078289,0.3249,0.9911,68.0987,99.52,222.03,18,152284,99052,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0067.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0067.png
0071,new_building,40.33200099,29.13325272,0.3053,0.5719,45.3783,47.93,484.74,18,152286,98924,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0071.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0071.png
0077,new_building,40.319852,29.13334783,0.8878,0.975,48.073,65.66,383.37,18,152286,98936,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0077.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0077.png
